Show,Episode Number,Episode,Played,Unnamed: 4,,,
Yu Yu Hakusho,62,Toguro's Full Power,no,,,,
Yu Yu Hakusho,63,Yusuke's Despair,no,,,,
Yu Yu Hakusho,64,Toguro's Desire,no,,,,
Yu Yu Hakusho,65,Out With A Bang,no,,,,
Yu Yu Hakusho,66,Toguro's Wish,no,,,,
Yu Yu Hakusho,67,Return To The Living World,no,,,,
Yu Yu Hakusho,68,Setting The Trap,no,,,,
Yu Yu Hakusho,69,The Power Of Taboo,no,,,,
Yu Yu Hakusho,70,Genkai's Ruse,no,,,,
Yu Yu Hakusho,71,The Tunnel,no,,,,
Yu Yu Hakusho,72,The Reader,no,,,,
Yu Yu Hakusho,73,The Doctor's Disease,no,,,,
Yu Yu Hakusho,74,"Sleep, Doctor, Sleep",no,,,,
Yu Yu Hakusho,75,Caught In The Rain,no,,,,
Yu Yu Hakusho,76,"Kuwabara, Awakening",no,,,,
Yu Yu Hakusho,77,Sensui's Fall,no,,,,
Yu Yu Hakusho,78,Divide And Conquer,no,,,,
Yu Yu Hakusho,79,The Human Race,no,,,,
Yu Yu Hakusho,80,Moving Target,no,,,,
Yu Yu Hakusho,81,Let The Games Begin,no,,,,
Yu Yu Hakusho,82,If You Could Play Forever,no,,,,
Yu Yu Hakusho,83,Game Over,no,,,,
Yu Yu Hakusho,84,"Kurama's Anger, Gourmet's Guest",no,,,,
Yu Yu Hakusho,85,Spirit Detective Showdown,no,,,,
Yu Yu Hakusho,86,The Difference Maker,no,,,,
Yu Yu Hakusho,87,Power Between The Teeth,no,,,,
Yu Yu Hakusho,88,True Face Of Sensui,no,,,,
Yu Yu Hakusho,89,Death Of A Spirit Detective,no,,,,
Yu Yu Hakusho,90,Attempting Revenge,no,,,,
Yu Yu Hakusho,91,Waking The Lost,no,,,,
Yu Yu Hakusho,92,The Proof,no,,,,
Yu Yu Hakusho,93,Sensui's End,no,,,,
Yu Yu Hakusho,94,Topside,no,,,,
Yu Yu Hakusho,95,Yusuke's Destiny,no,,,,
Yu Yu Hakusho,96,"Three Strangers, Three Kings",no,,,,
Yu Yu Hakusho,97,Departing Living World,no,,,,
Yu Yu Hakusho,98,Return To Demon World,no,,,,
Yu Yu Hakusho,99,Haunted By The Past,no,,,,
Yu Yu Hakusho,100,The Secret Of The Jagan,no,,,,
Yu Yu Hakusho,101,Reunion Of The Bandits,no,,,,
Yu Yu Hakusho,102,Torn Between Identities,no,,,,
Yu Yu Hakusho,103,Inheritance,no,,,,
Yu Yu Hakusho,104,Every Demon For Himself,no,,,,
Yu Yu Hakusho,105,The Preliminaries,no,,,,
Yu Yu Hakusho,106,The Battle Of Father And Son,no,,,,
Yu Yu Hakusho,107,The Demon World Tournament Begins,no,,,,
Yu Yu Hakusho,108,"Farewell, Kurama",no,,,,
Yu Yu Hakusho,109,Love And War,no,,,,
Yu Yu Hakusho,110,A Reason To Fight,no,,,,
Yu Yu Hakusho,111,Closure,no,,,,
Yu Yu Hakusho,112,To The Future,no,,,,
,,,,,,,
Bleach,1,The Day I Became A Shinigami,yee,,,,
Bleach,2,A Shinigami's Work,yee,,,,
Bleach,3,"The Older Brother's Wish, The Younger Sister's Wish",yee,,,,
Bleach,4,Cursed Parakeet,yee,,,,
Bleach,5,Beat The Invisible Enemy!,yee,,,,
Bleach,6,Fight To The Death! Ichigo Vs. Ichigo,yee,,,,
Bleach,7,Greetings From A Stuffed Lion,yee,,,,
Bleach,8,"June 17, Memories In The Rain",yee,,,,
Bleach,9,Unbeatable Enemy,yee,,,,
Bleach,10,Assault On Trip At Sacred Ground!,yee,,,,
Bleach,11,The Legendary Quincy,yee,,,,
Bleach,12,A Gentle Right Arm,yee,,,,
Bleach,13,Flower And Hollow,yee,,,,
Bleach,14,"Back To Back, A Fight To The Death!",yee,,,,
Bleach,15,Kon's Great Plan,yee,,,,
Bleach,16,"The Encounter, Abarai Renji!",yee,,,,
Bleach,17,Ichigo Dies!,yee,,,,
Bleach,18,Reclaim! The Power Of The Shinigami!,yee,,,,
Bleach,19,Ichigo Becomes A Hollow!,yee,,,,
Bleach,20,Ichimaru Gin's Shadow,yee,,,,
Bleach,21,Enter! The World Of The Shinigami,yee,,,,
Bleach,22,The Man Who Hates Shinigami,yee,,,,
Bleach,23,14 Days Before Rukia's Execution,yee,,,,
Bleach,24,Assemble! The 13 Divisions,yee,,,,
Bleach,25,Penetrate The Center With An Enormous Bombshell,yee,,,,
Bleach,26,Formation! The Worst Tag,yee,,,,
Bleach,27,Release The Death Blow!,yee,,,,
Bleach,28,Orihime Targeted,yee,,,,
Bleach,29,Breakthrough! The Shinigami's Encompassing Net,yee,,,,
Bleach,30,Renji's Confrontation,yee,,,,
Bleach,31,The Resolution To Kill,yee,,,,
Bleach,32,Stars And The Stray,yee,,,,
Bleach,33,Miracle! The Mysterious New Hero,yee,,,,
Bleach,34,Tragedy Of Dawn,yee,,,,
Bleach,35,Aizen Assassinated! The Darkness Which Approaches,yee,,,,
Bleach,36,Zaraki Kenpachi Approaches!,yee,,,,
Bleach,37,Motive Of The Fist,yee,,,,
Bleach,38,Desperation! The Broken Zangetsu,yee,,,,
Bleach,39,The Immortal Man,yee,,,,
Bleach,40,The Shinigami Whom Ganju Met,yee,,,,
Bleach,41,"Reunion, Ichigo And Rukia",yee,,,,
